feature,importance
risk_x_treatment,0.14998463
ACprev,0.10445131
BMI_overweight,0.10025252
heart_rate,0.09788863
BSA,0.08755093
LVSd,0.0850539
prior_treatment_count,0.08410759
age_LVEF_interaction,0.076003104
CV_risk_moderate,0.07458125
heart_rate_squared,0.07314561
heart_rate_cubed,0.06698055
LVDd,0.0
HTA,0.0
DL,0.0
DM,0.0
antiHER2,0.0
LAd,0.0
PWT,0.0
AC,0.0
age,0.0
heart_rhythm,0.0
LVEF,0.0
weight,0.0
height,0.0
VALVprev,0.0
ARRprev,0.0
ICMprev,0.0
CIprev,0.0
RTprev,0.0
antiHER2prev,0.0
exsmoker,0.0
smoker,0.0
LV_mass_approx,0.0
LVMI,0.0
Fractional_Shortening,0.0
cxvalv,0.0
BMI_normal,0.0
BMI_underweight,0.0
BMI_obese,0.0
BMI,0.0
LV_dilation,0.0
LVEF_reduced,0.0
LVEF_preserved,0.0
LVEF_midrange,0.0
systolic_dysfunction_risk,0.0
age_group_young,0.0
age_group_middle,0.0
LVEF_margin,0.0
age_group_elderly,0.0
age_adjusted_LVEF,0.0
treatment_AC_only,0.0
LA_volume_approx,0.0
LAVi,0.0
LV_hypertrophy,0.0
LA_enlargement,0.0
RWT,0.0
retreatment_AC,0.0
cumulative_cardiotoxic_treatment,0.0
treatment_none,0.0
treatment_combination,0.0
treatment_antiHER2_only,0.0
CV_risk_score,0.0
any_retreatment,0.0
retreatment_antiHER2,0.0
n_CV_risk_factors,0.0
metabolic_syndrome_risk,0.0
n_previous_cardiac_events,0.0
any_cardiac_history,0.0
age_x_AC,0.0
CV_risk_low,0.0
CV_risk_high,0.0
CV_risk_very_high,0.0
LVEF_x_antiHER2,0.0
LVEF_x_AC,0.0
age_x_antiHER2,0.0
BMI_x_combination,0.0
LVEF_x_HTA,0.0
LVEF_x_n_risk_factors,0.0
age_x_HTA,0.0
age_x_DM,0.0
age_cubed,0.0
age_squared,0.0
LVEF_cubed,0.0
LVEF_squared,0.0
LVDd_to_BSA,0.0
LAd_to_LVDd,0.0
LVSd_to_LVDd,0.0
weight_to_height,0.0
