feature,importance
risk_x_treatment,0.104849175
age_x_HTA,0.06296077
exsmoker,0.051634815
BMI,0.05098641
heart_rate,0.043050285
LVSd,0.035262987
LVEF,0.03474687
weight,0.030421766
height,0.028678631
CV_risk_score,0.02856033
LV_mass_approx,0.027405297
age_adjusted_LVEF,0.026859108
LVEF_x_n_risk_factors,0.026342245
BMI_x_combination,0.026274946
metabolic_syndrome_risk,0.026203126
any_retreatment,0.024142282
age,0.022380196
LVMI,0.021195356
BMI_overweight,0.021185206
LVEF_x_AC,0.020133547
LVDd,0.019868206
BSA,0.018369028
LVDd_to_BSA,0.017493412
age_x_AC,0.017152164
LAd_to_LVDd,0.016125767
PWT,0.015229605
CV_risk_moderate,0.015196571
weight_to_height,0.0148653425
LAd,0.014117132
age_group_middle,0.013364279
prior_treatment_count,0.013167199
age_LVEF_interaction,0.012040816
Fractional_Shortening,0.011956292
age_x_antiHER2,0.011644711
treatment_AC_only,0.010557111
LAVi,0.009956662
RWT,0.00878794
RTprev,0.008187028
LVEF_midrange,0.0075766025
LVEF_x_antiHER2,0.00642005
cumulative_cardiotoxic_treatment,0.006179741
smoker,0.006001366
BMI_normal,0.0049369438
treatment_combination,0.003965337
LVSd_to_LVDd,0.0035672893
ARRprev,0.0
ICMprev,0.0
CIprev,0.0
AC,0.0
antiHER2,0.0
HTA,0.0
heart_rhythm,0.0
antiHER2prev,0.0
ACprev,0.0
DL,0.0
DM,0.0
VALVprev,0.0
treatment_none,0.0
treatment_antiHER2_only,0.0
LVEF_reduced,0.0
LVEF_margin,0.0
systolic_dysfunction_risk,0.0
age_group_young,0.0
age_group_elderly,0.0
LVEF_preserved,0.0
BMI_obese,0.0
cxvalv,0.0
BMI_underweight,0.0
LA_volume_approx,0.0
LV_hypertrophy,0.0
LA_enlargement,0.0
LV_dilation,0.0
retreatment_AC,0.0
n_previous_cardiac_events,0.0
any_cardiac_history,0.0
n_CV_risk_factors,0.0
retreatment_antiHER2,0.0
CV_risk_low,0.0
CV_risk_high,0.0
CV_risk_very_high,0.0
age_cubed,0.0
age_squared,0.0
LVEF_x_HTA,0.0
age_x_DM,0.0
heart_rate_cubed,0.0
heart_rate_squared,0.0
LVEF_cubed,0.0
LVEF_squared,0.0
