rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,param_max_depth,param_min_child_weight,param_learning_rate,param_n_estimators,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda,param_gamma,param_scale_pos_weight,param_max_delta_step
1,0.7265991471215352,0.04817096974234974,0.8035030883963564,0.02963977890569644,5,5,0.26913665694390104,427,0.8563561641032563,0.5298311116653025,9.924232665070894,7.562339421860171,3.9248980123423016,1.629032868306186,2
2,0.7224647864573238,0.03163486651822856,0.8243093976938237,0.014021921458514114,7,10,0.2564063660289067,189,0.6579722991481134,0.8771668674777444,0.20838571546499263,7.398706707045248,7.832777710649404,1.982366911619017,8
3,0.7203782225237451,0.048148132779655656,0.8934473537353108,0.01130545574151323,5,6,0.035605544396932906,204,0.9956316133668166,0.7510768049809935,7.409812502745785,5.299915229264187,1.38871326396517,15.529626575665713,6
4,0.7111762615493958,0.05153464598675364,0.7728396501704909,0.01608476029071215,7,11,0.08106452006663113,417,0.7481475627503198,0.7446613737375607,9.40639999186114,3.293212774825043,5.125762159242116,1.739618738819599,8
5,0.7106044453059378,0.06826529995135662,0.9589750835951787,0.006754954861408375,7,2,0.09665417690695013,56,0.7730033757667938,0.5821103437297854,6.933970262725346,2.0448195025057956,0.7088550580912611,2.0254148122453857,8
6,0.7101537765716871,0.06770850786383363,0.8290291165269705,0.026414979588824508,6,2,0.034689384463802216,95,0.6633109528740044,0.5727837549166179,9.835972997387742,6.67351163050396,4.061099805025579,1.7684737832304083,3
7,0.7095399625250373,0.03951704859924416,0.7538765316698779,0.012245714152426477,4,9,0.2421173988644541,424,0.6769007674623979,0.6877014573175922,7.395380995423651,9.359051188664022,1.91976508244881,1.0110372042277445,2
8,0.7093638948116561,0.07006954868109062,0.7357129549135616,0.03358419704239648,6,19,0.07023298235354959,52,0.6847870997133866,0.7566841051124578,3.5052053428616183,3.725332737595508,9.892177539577501,2.204297614846263,9
9,0.7081568617949214,0.05635739039595704,0.8002090235253471,0.023643400654867686,8,4,0.014375058212396659,388,0.8122987405096773,0.8363645892954236,2.3064237038358604,4.999942447879185,8.069128818048943,1.2428759821189401,5
10,0.7076440040059444,0.03692235497870523,0.7201730797938424,0.030709018733671843,4,10,0.12262175034478018,304,0.8063279476141865,0.6100000753570732,7.051122613353439,5.0319832768498305,6.0387166421239735,1.198199613919657,5
11,0.7076003909026297,0.04107958717397248,0.7775512933596527,0.006926356967778064,9,7,0.09377773236674543,56,0.6481907617473595,0.8695063718047572,7.8709229745032765,7.476046678843783,0.8189252820000481,1.0806263612238445,4
12,0.7074416876655683,0.07397624739515393,0.954209390820291,0.005658802731539955,9,4,0.03655433104682803,487,0.9489307531398835,0.6974871843397059,3.0684060297826554,2.652478124683204,0.35012410725158705,9.863718032728157,9
13,0.7061546972927569,0.06871374200412668,0.8158085121587344,0.013759737172595128,2,5,0.004992377923178095,243,0.7743369617165106,0.7662919296798228,6.620602104170192,0.9500299212339991,5.981033609956308,1.4068262305791923,5
14,0.705902710473606,0.06220225555080952,0.8657358692127202,0.008632171024399978,8,16,0.1117298893223328,117,0.912948134646048,0.6878315325028135,9.181089700341419,7.85682081776031,2.605532153697756,4.849444797253856,8
15,0.7058280028429282,0.08734079693876236,0.971138090484154,0.003269644648468837,6,6,0.15950455394555926,435,0.9421036759146593,0.6885559922672222,6.9527413294441684,3.4385357554257934,9.063914823621593,13.161172070519545,8
16,0.7053898526846287,0.06241556916757018,0.8759290154830109,0.010056945420559373,2,9,0.05780349590830823,95,0.8444678205042814,0.5508773781811094,1.2588323895626108,5.410391471686042,9.3211151878558,6.127684595546711,5
17,0.7049670478774956,0.056157247281157945,0.8883166536614583,0.012463917237664428,3,11,0.13083923167520695,356,0.9454198038999397,0.85174478292812,0.5648514708875163,7.7674650716842635,5.525081602467127,2.5780183392233695,7
18,0.7047998643147897,0.05948492814527384,0.926296231699219,0.007979206618801178,5,1,0.14483428711541915,66,0.9124734647302788,0.9762103473767281,6.962634753005331,0.5282464448413671,8.237976154350342,15.320488806539121,6
19,0.7046197583511017,0.05348761095606102,0.8130860784315507,0.012966234923518625,6,5,0.003463666864655981,268,0.5894156488309437,0.7603851140956678,0.5320420185769947,9.71590191262528,7.559128574045882,2.0194848953032105,7
20,0.704553934871099,0.042357597555632155,0.860802203345745,0.00946024711245739,5,6,0.12418573501649721,462,0.9833257000502207,0.7820224717350218,8.982989463567653,6.550299805856151,0.22492918380839333,1.2949153282500725,5
